episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
399,9290,loss,17,-66.50,0,7,0.8235,0,1.500345
400,9305,loss,15,-64.00,0,7,0.8232,0,1.569547
401,9326,loss,21,-68.50,0,8,0.8228,0,1.854432
402,9353,loss,27,-73.00,0,8,0.8223,0,1.857564
403,9383,loss,30,-73.50,0,8,0.8217,0,1.698677
404,9417,loss,34,-76.50,0,8,0.8211,0,1.730549
405,9446,loss,29,-71.50,0,8,0.8205,0,1.524094
406,9474,loss,28,-72.00,0,8,0.8200,0,1.560488
407,9490,loss,16,-65.50,0,8,0.8197,0,1.604382
408,9509,loss,19,-69.00,0,8,0.8193,0,1.574771
409,9532,loss,23,-70.00,0,8,0.8189,0,1.541147
410,9562,loss,30,-73.00,0,8,0.8183,0,1.775492
411,9581,loss,19,-65.50,0,8,0.8180,0,1.733319
412,9603,loss,22,-68.50,0,8,0.8175,0,1.772344
413,9651,loss,48,-84.00,0,8,0.8166,0,1.420117
414,9676,loss,25,-70.00,0,8,0.8162,0,1.781374
415,9705,loss,29,-73.00,0,8,0.8156,0,1.838907
416,9728,loss,23,-69.00,0,8,0.8152,0,1.525028
417,9763,loss,35,-71.50,0,8,0.8145,0,1.650449
418,9786,loss,23,-68.50,0,8,0.8141,0,1.663049
419,9799,loss,13,-66.00,0,8,0.8138,0,1.718442
420,9822,loss,23,-69.00,0,8,0.8134,0,1.608418
421,9849,loss,27,-71.00,0,8,0.8129,0,1.874396
422,9867,loss,18,-67.00,0,8,0.8125,0,1.685850
423,9884,loss,17,-67.00,0,8,0.8122,0,1.697002
424,9914,loss,30,-74.50,0,8,0.8116,0,1.527647
425,9929,loss,15,-67.00,0,8,0.8113,0,1.623818
426,9957,loss,28,-70.00,0,8,0.8108,0,1.528775
427,9974,loss,17,-65.00,0,7,0.8105,0,1.482515
428,9997,loss,23,-72.00,0,8,0.8101,0,1.891806
429,10012,loss,15,-65.50,0,7,0.8098,0,1.684386
430,10041,loss,29,-74.00,0,8,0.8092,0,1.724668
431,10065,loss,24,-69.00,0,8,0.8088,0,1.614382
432,10086,loss,21,-68.50,0,8,0.8084,0,1.541196
433,10105,loss,19,-67.50,0,8,0.8080,0,1.560779
434,10116,loss,11,-63.50,0,7,0.8078,0,1.491610
435,10129,loss,13,-65.50,0,8,0.8075,0,1.571849
436,10148,loss,19,-69.00,0,8,0.8072,0,1.835914
437,10173,loss,25,-71.00,0,8,0.8067,0,1.591905
438,10188,loss,15,-65.50,0,8,0.8064,0,1.547030
439,10205,loss,17,-67.50,0,8,0.8061,0,1.596951
440,10226,loss,21,-68.50,0,8,0.8057,0,1.648596
441,10238,loss,12,-64.00,0,7,0.8055,0,1.897099
